electionDate
26.09.2021
24.09.2017
22.09.2013
27.09.2009
18.09.2005
22.09.2002
27.09.1998
16.10.1994
02.12.1990
25.01.1987
06.03.1983
05.10.1980
03.10.1976
19.11.1972
28.09.1969
19.09.1965
17.09.1961
15.09.1957
06.09.1953
14.08.1949
